Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A10029_001,SE_A10029_002,SE_A10029_003,SE_A10029_004,SE_A10029_005,SE_A10029_006,SE_A10029_007,SE_A10029_008,SE_A10029_009
"06037554105","Census Tract 5541.05, Los Angeles County, California","ACSSF","ca","140","00","0006100",,,,,"06","037",,,"554105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037554105","Census Tract 5541.05",,,,4648,1495,1476,405,957,114,19,10,9,0
"06037554106","Census Tract 5541.06, Los Angeles County, California","ACSSF","ca","140","00","0006101",,,,,"06","037",,,"554106",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037554106","Census Tract 5541.06",,,,3983,1291,1291,192,894,205,0,0,0,0
"06037554201","Census Tract 5542.01, Los Angeles County, California","ACSSF","ca","140","00","0006102",,,,,"06","037",,,"554201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037554201","Census Tract 5542.01",,,,3772,1089,1089,140,770,179,0,0,0,0
"06037554203","Census Tract 5542.03, Los Angeles County, California","ACSSF","ca","140","00","0006103",,,,,"06","037",,,"554203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037554203","Census Tract 5542.03",,,,4067,1303,1209,233,754,222,94,0,70,24
"06037554204","Census Tract 5542.04, Los Angeles County, California","ACSSF","ca","140","00","0006104",,,,,"06","037",,,"554204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037554204","Census Tract 5542.04",,,,4914,1810,1794,370,985,439,16,0,16,0
"06037554301","Census Tract 5543.01, Los Angeles County, California","ACSSF","ca","140","00","0006105",,,,,"06","037",,,"554301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037554301","Census Tract 5543.01",,,,3417,1053,1053,260,713,80,0,0,0,0
"06037554302","Census Tract 5543.02, Los Angeles County, California","ACSSF","ca","140","00","0006106",,,,,"06","037",,,"554302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037554302","Census Tract 5543.02",,,,4665,1186,1180,327,771,82,6,0,0,6
"06037554403","Census Tract 5544.03, Los Angeles County, California","ACSSF","ca","140","00","0006107",,,,,"06","037",,,"554403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037554403","Census Tract 5544.03",,,,5593,1794,1794,428,1149,217,0,0,0,0
"06037554404","Census Tract 5544.04, Los Angeles County, California","ACSSF","ca","140","00","0006108",,,,,"06","037",,,"554404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037554404","Census Tract 5544.04",,,,4669,1326,1315,228,898,189,11,0,11,0
"06037554405","Census Tract 5544.05, Los Angeles County, California","ACSSF","ca","140","00","0006109",,,,,"06","037",,,"554405",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037554405","Census Tract 5544.05",,,,3554,1365,1365,201,763,401,0,0,0,0
"06037554406","Census Tract 5544.06, Los Angeles County, California","ACSSF","ca","140","00","0006110",,,,,"06","037",,,"554406",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037554406","Census Tract 5544.06",,,,4710,1575,1575,182,893,500,0,0,0,0
"06037554511","Census Tract 5545.11, Los Angeles County, California","ACSSF","ca","140","00","0006111",,,,,"06","037",,,"554511",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037554511","Census Tract 5545.11",,,,4045,1118,1118,62,685,371,0,0,0,0
"06037554512","Census Tract 5545.12, Los Angeles County, California","ACSSF","ca","140","00","0006112",,,,,"06","037",,,"554512",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037554512","Census Tract 5545.12",,,,6579,2164,2164,261,1137,766,0,0,0,0
"06037554513","Census Tract 5545.13, Los Angeles County, California","ACSSF","ca","140","00","0006113",,,,,"06","037",,,"554513",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037554513","Census Tract 5545.13",,,,2575,815,810,17,478,315,5,0,0,5
"06037554514","Census Tract 5545.14, Los Angeles County, California","ACSSF","ca","140","00","0006114",,,,,"06","037",,,"554514",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037554514","Census Tract 5545.14",,,,4776,1587,1552,79,874,599,35,0,35,0
"06037554515","Census Tract 5545.15, Los Angeles County, California","ACSSF","ca","140","00","0006115",,,,,"06","037",,,"554515",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037554515","Census Tract 5545.15",,,,3338,1127,1127,92,419,616,0,0,0,0
"06037554516","Census Tract 5545.16, Los Angeles County, California","ACSSF","ca","140","00","0006116",,,,,"06","037",,,"554516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037554516","Census Tract 5545.16",,,,3721,1208,1193,9,740,444,15,0,15,0
"06037554517","Census Tract 5545.17, Los Angeles County, California","ACSSF","ca","140","00","0006117",,,,,"06","037",,,"554517",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037554517","Census Tract 5545.17",,,,4323,1386,1386,239,602,545,0,0,0,0
"06037554518","Census Tract 5545.18, Los Angeles County, California","ACSSF","ca","140","00","0006118",,,,,"06","037",,,"554518",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037554518","Census Tract 5545.18",,,,5296,1573,1567,127,886,554,6,0,0,6
"06037554519","Census Tract 5545.19, Los Angeles County, California","ACSSF","ca","140","00","0006119",,,,,"06","037",,,"554519",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037554519","Census Tract 5545.19",,,,3607,1217,1209,28,600,581,8,0,0,8
"06037554521","Census Tract 5545.21, Los Angeles County, California","ACSSF","ca","140","00","0006120",,,,,"06","037",,,"554521",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037554521","Census Tract 5545.21",,,,6221,1902,1902,203,939,760,0,0,0,0
"06037554522","Census Tract 5545.22, Los Angeles County, California","ACSSF","ca","140","00","0006121",,,,,"06","037",,,"554522",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037554522","Census Tract 5545.22",,,,5149,1485,1473,57,795,621,12,0,0,12
"06037554600","Census Tract 5546, Los Angeles County, California","ACSSF","ca","140","00","0006122",,,,,"06","037",,,"554600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037554600","Census Tract 5546",,,,4242,1206,1157,174,747,236,49,12,31,6
